"","respid","sample","int_date","fcall","attempt","refusal","lang","cregion","state","density","usr","scregion","sstate","sdensity","susr","llitext0","llitext","qintro2","phase","qs1","qa1","q1c1","qc1a","qb2","qb3","qb4","qb5","qa6","qa8","qa9a","qa9b","qa9c","qa9d","qa9e","qa9f","qa9g","q11a","q11b","q11c_b","q11e_b","q11h_b","q11i_b","q11j_b","q11at","q11bt","qb12"
"1",2,"Landline",140123,140123,1,"No","English","Midwest","Michigan","Lowest","R  ","Midwest","Michigan","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"2",5,"Landline",140123,140123,1,"No","English","Midwest","Indiana","Lowest","S  ","Midwest","Indiana","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Important","Important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"3",6,"Landline",140128,140123,5,"No","English","Northeast","Pennsylvania","2","S  ","Northeast","Pennsylvania","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Important","Important","Important","Important","(VOL) Can't rate","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"4",7,"Landline",140123,140123,1,"No","English","South","Virginia","Highest","S  ","South","Virginia","Highest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","(VOL) Don't know/Refused","Not too important","Important","Important","Important","Important","Important","Important","Mostly unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"5",9,"Landline",140123,140123,1,"No","English","Midwest","Michigan","Lowest","R  ","Midwest","Michigan","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"6",10,"Landline",140123,140123,1,"No","English","South","West Virginia","Lowest","S  ","South","West Virginia","Lowest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Small town","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Important","Not too important","Important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"7",11,"Landline",140123,140123,1,"No","English","South","Virginia","Lowest","S  ","South","Virginia","Lowest","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Not too happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Important","Important","(VOL) Don't know/Refused","Important","Not too important","Important","Important","Mostly favorable","Very unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"8",12,"Landline",140123,140123,1,"No","English","Northeast","New York","3","S  ","Northeast","New York","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Not too important","Not too important","Not too important","Important","Important","Not too important","(VOL) Can't rate","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"9",14,"Landline",140124,140123,2,"No","English","Northeast","Pennsylvania","2","S  ","Northeast","Pennsylvania","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Not too important","Not too important","Not too important","Important","Mostly favorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"10",15,"Landline",140123,140123,1,"No","English","South","Georgia","Lowest","R  ","South","Georgia","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Important","Important","Mostly unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"11",16,"Landline",140123,140123,1,"No","English","Northeast","New Jersey","Highest","U  ","Northeast","New Jersey","Highest","U  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Not too important","Important","Very unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"12",17,"Landline",140123,140123,1,"No","English","South","Georgia","Lowest","R  ","South","Georgia","Lowest","R  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Important","Important","Not too important","Not too important","Important","Important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"13",18,"Landline",140123,140123,1,"No","English","South","Virginia","Highest","S  ","South","Virginia","Highest","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","(VOL) Don't know/Refused","Not too important","Important","Not too important","Not too important","Important","Not too important","Important","Mostly unfavorable","Very favorable",NA,NA,NA,NA,NA,NA,NA,NA
"14",19,"Landline",140127,140123,4,"No","English","South","South Carolina","2","S  ","South","South Carolina","2","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Very happy",NA,NA,NA,NA,NA,NA,"City","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Not too important","Important","(VOL) Can't rate","(VOL) Can't rate",NA,NA,NA,NA,NA,NA,NA,NA
"15",21,"Landline",140123,140123,1,"No","English","Northeast","New York","2","U  ","Northeast","New York","2","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Rural area","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","Very favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"16",22,"Landline",140123,140123,1,"No","English","Northeast","Vermont","Lowest","R  ","Northeast","Vermont","Lowest","R  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Not too important","Not too important","Not too important","Not too important","Important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"17",23,"Landline",140123,140123,1,"No","English","South","Florida","3","S  ","South","Florida","3","S  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Important","Important","Important","Very unfavorable","Mostly unfavorable",NA,NA,NA,NA,NA,NA,NA,NA
"18",24,"Landline",140123,140123,1,"No","English","South","Virginia","Highest","U  ","South","Virginia","Highest","U  ",NA,"Youngest Male","Youngest Male",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Suburban area","A community where houses are larger/farther apart, but schools/stores are several miles away","Not too important","Important","Not too important","Important","Important","Important","Important","Mostly favorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
"19",25,"Landline",140123,140123,1,"No","English","Northeast","Pennsylvania","3","S  ","Northeast","Pennsylvania","3","S  ",NA,"Youngest Female","Youngest Female",1,NA,"Pretty happy",NA,NA,NA,NA,NA,NA,"Small town","A community where the houses are smaller/closer to each other, but schools/stores are within walking distance","Not too important","Important","Important","Not too important","Not too important","Not too important","Not too important","Mostly unfavorable","Mostly favorable",NA,NA,NA,NA,NA,NA,NA,NA
